Timestamp,name,caption
10/22/2025 17:06:26,KSC_2983_result.jpg,Chairs in a row
10/22/2025 18:23:46,_MG_6751.jpg,A lady speaking at a conference
10/22/2025 18:29:52,_MG_6752.jpg,A lady giving a presentation at a conference
10/22/2025 19:22:48,bitcoindada thumbnail.png,a  poster for a women workshop
10/22/2025 19:24:15,KSC_2271_result.jpg,a man giving a speech on a hackathon
10/22/2025 19:25:17,KSC_2272_result.jpg,a man giving a speech on a hackathon 
10/22/2025 19:27:40,KSC_2273 - Copy - Copy_result.jpg,A man listening to a presentation on a hackathon
10/22/2025 19:29:12,KSC_2273_result.jpg,a man paying listening to a presentation on a hackathon
10/22/2025 19:46:15,KSC_2274_result.jpg,a hackathon participant presenting their project
10/22/2025 19:47:25,KSC_2283_result.jpg,"a lady moderating a hackathon
"
10/22/2025 19:48:25,KSC_2283_result.jpg,a lady moderating a hackathon
10/22/2025 19:49:42,KSC_2285_result.jpg,an event organizer seated
10/22/2025 19:50:58,KSC_2286_result.jpg,an event attendant seated while using their phone 
10/22/2025 19:51:57,KSC_2287_result.jpg,a woman seated in a workshop
10/22/2025 19:53:05,KSC_2291_result.jpg,a hacker paying attention on a hackathon event
10/22/2025 19:54:15,KSC_2294_result.jpg,a computer lab with people attending a hackathon
10/22/2025 19:55:35,KSC_2301_result.jpg,attendee in a computer lab attending to a hackathon event
10/22/2025 19:59:44,KSC_2332_result.jpg,hackers pitching/presenting their projects to the judges
10/22/2025 20:00:59,KSC_2333_result.jpg,hackers pitching/presenting their project to the judges 
10/22/2025 20:02:25,KSC_2334_result.jpg,image of hacker pitching their project to the judges on a hackathon
10/22/2025 20:06:59,KSC_2335_result.jpg,a hacker pitching his project on a hackathon event 
10/22/2025 20:08:07,KSC_2336_result.jpg,a hacker pitching his project on a hackathon
10/22/2025 20:09:22,KSC_2344_result.jpg,judges evaluating hackers' projects to come up with results
10/22/2025 20:10:45,KSC_2344_result.jpg,hackathon judges listening to the hackathon participants present 
10/22/2025 20:12:13,KSC_2346_result.jpg,hackathon judges observing participant's projects
10/22/2025 20:13:23,KSC_2347_result.jpg,judges observing participant's projects 
10/22/2025 20:14:22,KSC_2348_result.jpg,hackathon judges observing participant's projects
10/22/2025 20:15:54,KSC_2349_result.jpg,hackathon judges observing the participant's projects
10/22/2025 20:19:13,KSC_2350_result.jpg,hackathon judges observing participant's projects to come up with results
10/22/2025 20:20:38,KSC_2351_result.jpg, a female moderating a hackathon session of an event
10/22/2025 20:21:26,KSC_2352_result.jpg,a lady moderating a hackathon session of the event
10/22/2025 20:22:18,KSC_2353_result.jpg,a lady moderating a hackathon event
10/22/2025 20:23:15,KSC_2354_result.jpg,event attendees networking at a tech event
10/22/2025 20:24:15,KSC_2355_result.jpg,event attendees networking
10/22/2025 20:25:11,KSC_2356_result.jpg,attendees networking during an event
10/22/2025 20:25:50,KSC_2357_result.jpg,attendees networking at an event
10/22/2025 20:26:49,KSC_2358_result.jpg,a man seated at an event
10/22/2025 20:27:58,KSC_2359_result.jpg,event attendees talking to each other
10/22/2025 20:29:15,KSC_2360_result.jpg,hackathon participants consulting each other about their project
10/22/2025 20:30:26,KSC_2362_result.jpg,hackathon participants consulting each other on their projects
10/22/2025 20:32:07,KSC_2363_result.jpg,image of event attendees
10/22/2025 20:33:05,KSC_2364_result.jpg,a man on a phone call
10/22/2025 20:33:51,KSC_2365_result.jpg,a man on a phone call
10/22/2025 20:34:34,KSC_2368_result.jpg,a man on a phone call
10/22/2025 20:35:23,KSC_2369_result.jpg,hackathon working on their projects
10/22/2025 20:36:17,KSC_2370_result.jpg,hackers working on their projects
10/22/2025 20:38:55,KSC_2371_result.jpg,attendees attending an event in a computer laboratory
10/22/2025 20:42:40,KSC_2372_result.jpg,people attending an event in a computer laboratory
10/22/2025 20:43:49,KSC_2373_result.jpg,a hackathon judge speaking to the attendees
10/22/2025 20:44:36,KSC_2376_result.jpg,a woman seated
10/22/2025 20:45:29,KSC_2384_result.jpg,a woman attendee seated and listening to the speaker
10/22/2025 20:46:34,KSC_2390_result.jpg,a woman presenting her project on a hackathon
10/22/2025 20:47:31,KSC_2391_result.jpg,a woman presenting her project to the hackathon judges
10/22/2025 20:48:25,KSC_2392_result.jpg,a lady speaking at the event
10/22/2025 20:49:25,KSC_2393_result.jpg,a sound system equipment used on the event
10/22/2025 20:50:54,KSC_2399_result.jpg,a man speaking on a tech hackathon event
10/22/2025 20:51:36,KSC_2400_result.jpg,a man speaking at a hackathon event
10/22/2025 20:53:14,KSC_2401_result.jpg,a man speaking at a hackathon event
10/22/2025 20:54:14,KSC_2402_result.jpg,a man speaking at a hackathon event
10/22/2025 20:54:57,KSC_2403_result.jpg,a man speaking on an event
10/22/2025 20:55:33,KSC_2404_result.jpg,a man speaking on a tech event
10/22/2025 20:56:28,KSC_2405_result.jpg,a man speaking on a tech event
10/22/2025 20:57:28,KSC_2406_result.jpg,a man giving a speech on a tech event
10/22/2025 20:58:29,KSC_2411_result.jpg,a man sitting in an event room
10/22/2025 20:59:26,KSC_2412_result.jpg,event attendees networking
10/22/2025 21:00:23,KSC_2413_result.jpg,people networking in the computer laboratory
10/22/2025 21:01:08,KSC_2414_result.jpg,people networking at a hackathon event
10/22/2025 21:02:01,KSC_2415_result.jpg,a man watching his phone during an event
10/22/2025 21:03:15,KSC_2416_result.jpg ,event attendees paying attention to speeches at an event
10/22/2025 21:04:24,KSC_2417_result.jpg,attendees listening to speakers at an event
10/22/2025 21:05:22,KSC_2418_result.jpg,an event attendee seated
10/22/2025 21:06:24,KSC_2419_result.jpg,event attendees listening to speakers
10/23/2025 0:43:33,KSC_2421_result.jpg,a man looking at his laptop
10/23/2025 0:45:12,KSC_2423_result.jpg,a man looking at his laptop
10/23/2025 0:46:17,KSC_2424_result.jpg,a man in a computer laboratory
